"WorkDate","SumOfActualHours"
"2017-01-01",57.75
"2017-01-02",479.50
"2017-01-03",8371.25
"2017-01-04",8511.25
"2017-01-05",8547.75
"2017-01-06",8319.75
"2017-01-07",326.25
"2017-01-08",309.50
"2017-01-09",8619.50
"2017-01-10",8860.75
"2017-01-11",8834.75
"2017-01-12",8663.00
"2017-01-13",8298.50
"2017-01-14",318.50
"2017-01-15",305.50
"2017-01-16",1167.50
"2017-01-17",8781.25
"2017-01-18",8839.00
"2017-01-19",8809.75
"2017-01-20",8475.00
"2017-01-21",343.50
"2017-01-22",381.25
"2017-01-23",8792.25
"2017-01-24",8934.75
"2017-01-25",8917.50
"2017-01-26",8805.00
"2017-01-27",8461.00
"2017-01-28",289.50
"2017-01-29",345.50
"2017-01-30",8738.25
"2017-01-31",8857.25
"2017-02-01",8981.25
"2017-02-02",8947.00
"2017-02-03",8569.50
"2017-02-04",387.25
"2017-02-05",591.50
"2017-02-06",8970.50
"2017-02-07",9076.50
"2017-02-08",9048.25
"2017-02-09",9005.25
"2017-02-10",8606.00
"2017-02-11",388.75
"2017-02-12",491.25
"2017-02-13",8950.25
"2017-02-14",9153.50
"2017-02-15",9162.25
"2017-02-16",9041.25
"2017-02-17",8619.50
"2017-02-18",362.50
"2017-02-19",358.25
"2017-02-20",1550.50
"2017-02-21",9082.50
"2017-02-22",9042.50
"2017-02-23",9015.75
"2017-02-24",8624.25
"2017-02-25",370.25
"2017-02-26",444.50
"2017-02-27",8832.50
"2017-02-28",9011.00
"2017-03-01",9006.25
"2017-03-02",8964.00
"2017-03-03",8581.25
"2017-03-04",315.75
"2017-03-05",431.25
"2017-03-06",9022.25
"2017-03-07",9141.00
"2017-03-08",9082.25
"2017-03-09",9025.50
"2017-03-10",8564.50
"2017-03-11",375.25
"2017-03-12",402.75
"2017-03-13",8968.50
"2017-03-14",9015.50
"2017-03-15",9017.50
"2017-03-16",8868.50
"2017-03-17",8552.75
"2017-03-18",293.75
"2017-03-19",344.50
"2017-03-20",9003.50
"2017-03-21",9164.00
"2017-03-22",9141.50
"2017-03-23",8988.50
"2017-03-24",8616.50
"2017-03-25",320.25
"2017-03-26",407.00
"2017-03-27",9037.00
"2017-03-28",9147.25
"2017-03-29",9101.50
"2017-03-30",9063.50
"2017-03-31",8687.50
"2017-04-01",270.00
"2017-04-02",373.25
"2017-04-03",9182.50
"2017-04-04",9290.00
"2017-04-05",9232.50
"2017-04-06",9212.00
"2017-04-07",8750.50
"2017-04-08",241.50
"2017-04-09",350.50
"2017-04-10",9142.00
"2017-04-11",9195.75
"2017-04-12",9318.50
"2017-04-13",9080.50
"2017-04-14",8558.00
"2017-04-15",270.50
"2017-04-16",274.50
"2017-04-17",9134.00
"2017-04-18",9258.75
"2017-04-19",9180.00
"2017-04-20",9273.50
"2017-04-21",8752.75
"2017-04-22",381.50
"2017-04-23",358.50
"2017-04-24",9171.00
"2017-04-25",9245.75
"2017-04-26",9227.00
"2017-04-27",9089.00
"2017-04-28",8615.00
"2017-04-29",249.00
"2017-04-30",303.50
"2017-05-01",8916.50
"2017-05-02",9093.75
"2017-05-03",9151.00
"2017-05-04",9072.75
"2017-05-05",8488.75
"2017-05-06",209.50
"2017-05-07",271.25
"2017-05-08",8928.50
"2017-05-09",9122.75
"2017-05-10",9112.50
"2017-05-11",9054.50
"2017-05-12",8524.00
"2017-05-13",247.50
"2017-05-14",265.50
"2017-05-15",8996.75
"2017-05-16",9218.50
"2017-05-17",9218.25
"2017-05-18",9030.75
"2017-05-19",8564.50
"2017-05-20",239.50
"2017-05-21",344.50
"2017-05-22",9184.00
"2017-05-23",9381.00
"2017-05-24",9397.50
"2017-05-25",9254.50
"2017-05-26",6916.25
"2017-05-27",152.50
"2017-05-28",179.75
"2017-05-29",940.00
"2017-05-30",9366.50
"2017-05-31",9317.75
"2017-06-01",9349.25
"2017-06-02",7452.25
"2017-06-03",274.50
"2017-06-04",415.50
"2017-06-05",9676.00
"2017-06-06",9825.25
"2017-06-07",9809.50
"2017-06-08",9711.75
"2017-06-09",7408.50
"2017-06-10",199.75
"2017-06-11",326.25
"2017-06-12",9618.00
"2017-06-13",9810.75
"2017-06-14",9749.25
"2017-06-15",9624.25
"2017-06-16",7262.50
"2017-06-17",336.00
"2017-06-18",429.75
"2017-06-19",9615.75
"2017-06-20",9788.75
"2017-06-21",9735.25
"2017-06-22",9659.25
"2017-06-23",7283.75
"2017-06-24",288.25
"2017-06-25",327.25
"2017-06-26",9546.50
"2017-06-27",9262.75
"2017-06-28",9725.25
"2017-06-29",9678.75
"2017-06-30",7431.25
"2017-07-01",166.25
"2017-07-02",144.50
"2017-07-03",695.25
"2017-07-04",504.00
"2017-07-05",9493.00
"2017-07-06",9725.00
"2017-07-07",8225.00
"2017-07-08",300.50
"2017-07-09",385.50
"2017-07-10",9639.50
"2017-07-11",9838.00
"2017-07-12",9735.25
"2017-07-13",9584.25
"2017-07-14",7464.75
"2017-07-15",288.50
"2017-07-16",297.00
"2017-07-17",9704.00
"2017-07-18",9734.25
"2017-07-19",9646.75
"2017-07-20",9453.50
"2017-07-21",7610.25
"2017-07-22",340.75
"2017-07-23",459.00
"2017-07-24",9616.00
"2017-07-25",9778.00
"2017-07-26",9814.25
"2017-07-27",9575.75
"2017-07-28",7548.25
"2017-07-29",508.00
"2017-07-30",617.75
"2017-07-31",9724.25
"2017-08-01",9834.00
"2017-08-02",9721.25
"2017-08-03",9577.50
"2017-08-04",7511.25
"2017-08-05",268.50
"2017-08-06",375.50
"2017-08-07",9614.00
"2017-08-08",9771.50
"2017-08-09",9757.50
"2017-08-10",9544.75
"2017-08-11",7492.50
"2017-08-12",323.50
"2017-08-13",390.25
"2017-08-14",9393.00
"2017-08-15",9526.00
"2017-08-16",9585.25
"2017-08-17",9441.25
"2017-08-18",7582.00
"2017-08-19",220.25
"2017-08-20",329.50
"2017-08-21",9301.00
"2017-08-22",9460.75
"2017-08-23",9546.50
"2017-08-24",9480.00
"2017-08-25",7457.00
"2017-08-26",338.25
"2017-08-27",393.25
"2017-08-28",9413.50
"2017-08-29",9624.75
"2017-08-30",9563.50
"2017-08-31",9480.75
"2017-09-01",7325.75
"2017-09-02",246.50
"2017-09-03",219.50
"2017-09-04",920.00
"2017-09-05",9391.50
"2017-09-06",9457.00
"2017-09-07",9429.50
"2017-09-08",8813.25
"2017-09-09",326.75
"2017-09-10",427.00
"2017-09-11",9413.50
"2017-09-12",9473.00
"2017-09-13",9397.00
"2017-09-14",9003.25
"2017-09-15",8824.75
"2017-09-16",194.00
"2017-09-17",306.25
"2017-09-18",9356.75
"2017-09-19",9491.00
"2017-09-20",9378.25
"2017-09-21",9316.50
"2017-09-22",8798.75
"2017-09-23",278.50
"2017-09-24",374.00
"2017-09-25",9360.75
"2017-09-26",9399.75
"2017-09-27",9423.75
"2017-09-28",9289.00
"2017-09-29",8868.75
"2017-09-30",272.75
"2017-10-01",405.25
"2017-10-02",9285.00
"2017-10-03",9412.00
"2017-10-04",9390.75
"2017-10-05",9314.00
"2017-10-06",8822.00
"2017-10-07",305.75
"2017-10-08",404.25
"2017-10-09",9357.50
"2017-10-10",9481.00
"2017-10-11",9382.75
"2017-10-12",9369.75
"2017-10-13",8735.25
"2017-10-14",163.25
"2017-10-15",282.50
"2017-10-16",9234.25
"2017-10-17",9336.50
"2017-10-18",9290.00
"2017-10-19",9314.00
"2017-10-20",8813.75
"2017-10-21",344.50
"2017-10-22",413.00
"2017-10-23",9382.50
"2017-10-24",9483.25
"2017-10-25",9502.50
"2017-10-26",9397.75
"2017-10-27",8820.25
"2017-10-28",320.50
"2017-10-29",393.25
"2017-10-30",9237.50
"2017-10-31",9261.25
"2017-11-01",9444.00
"2017-11-02",9365.00
"2017-11-03",8938.00
"2017-11-04",199.50
"2017-11-05",299.25
"2017-11-06",9349.25
"2017-11-07",9511.00
"2017-11-08",9504.00
"2017-11-09",9466.50
"2017-11-10",8893.75
"2017-11-11",271.75
"2017-11-12",407.00
"2017-11-13",9439.75
"2017-11-14",9538.75
"2017-11-15",9579.50
"2017-11-16",9499.00
"2017-11-17",8919.25
"2017-11-18",163.75
"2017-11-19",291.00
"2017-11-20",9248.00
"2017-11-21",9169.50
"2017-11-22",8739.25
"2017-11-23",376.00
"2017-11-24",500.50
"2017-11-25",152.25
"2017-11-26",228.50
"2017-11-27",9355.75
"2017-11-28",9505.50
"2017-11-29",9498.25
"2017-11-30",9515.75
"2017-12-01",8945.75
"2017-12-02",314.75
"2017-12-03",404.25
"2017-12-04",9511.25
"2017-12-05",9599.00
"2017-12-06",9570.75
"2017-12-07",9506.75
"2017-12-08",8938.00
"2017-12-09",308.00
"2017-12-10",463.00
"2017-12-11",9462.75
"2017-12-12",9596.25
"2017-12-13",9507.75
"2017-12-14",9429.00
"2017-12-15",8881.25
"2017-12-16",281.50
"2017-12-17",418.50
"2017-12-18",9271.75
"2017-12-19",9197.75
"2017-12-20",9061.25
"2017-12-21",8595.25
"2017-12-22",817.75
"2017-12-23",70.75
"2017-12-24",27.75
"2017-12-25",92.50
"2017-12-26",528.50
"2017-12-27",634.75
"2017-12-28",598.75
"2017-12-29",521.50
"2017-12-30",85.25
"2017-12-31",47.00
